x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
5,California,7.3,63.2,5.3,36.8,56.8,60.5,65.5,5.4,28.1,37.6,18.7,9.7,20.9,78.3,13.3,8.2,61933,88595,30441,40842,50539,42486,6.2,3.8,9.5,12.2,28,15.3,61.8,12.4,2014,62940.73663608394,NA,0
57,California,6.7,63,4.6,37,56.8,61.1,65.4,5.5,28.9,37.7,18.7,9.5,20.8,78.4,13.3,8.2,64500,91757,31587,42068,50562,43335,6.3,3.5,9.7,11.3,26.6,14.3,62.5,8.6,2015,65442.117240728374,3.974183872532544,0
109,California,6.3,63.3,4.1,36.7,57,61.1,65.7,5.8,29.4,38.3,18.9,9.2,20.7,78.2,13.5,8.2,67739,96961,33389,44115,51417,45489,6.4,3.5,9.6,10.5,24.5,13.2,63,7.3,2016,67018.29509303208,2.4085068129836795,0
161,California,5.8,63.7,3.7,36.3,57.4,63,67,6,29.8,38.7,18.6,9.1,21.1,78.4,13.4,8,71805,101761,35046,46599,52487,46783,6,3.2,8.9,9.6,22.9,12.2,63.6,7.2,2017,69667.12284385102,3.952395009664067,0
213,California,5.4,63.9,3.5,36.1,57.8,64,67.3,6,30.2,39.2,18.6,8.9,20.9,78.5,13.1,8.2,75277,107384,37124,48563,55646,49009,6,3.1,8.5,9.1,22.1,11.7,63.7,7.2,2018,72290.91536643724,3.7661847015945993,0
265,California,4.9,64,3.2,36,58,63.6,67.9,6.3,30.7,40.7,18.4,8.7,21.2,78.1,13.9,7.8,80440,113563,39393,51676,57016,50220,5.8,2.8,8.4,8.2,20.2,10.7,63.9,7.7,2019,75298.9088334714,4.160956396508286,0
317,California,5.4,63.4,5.2,36.6,57.6,64.7,67.5,21.4,27.6,42.9,16.8,9,22,77.8,14.7,7.4,84907,120953,42396,54015,65324,57373,6,4.9,12,9,20.6,11.3,63.7,7,2021,80482.16931520854,6.883579804855144,1
369,California,5.2,63.9,3.4,36.1,58.2,66.2,69.5,17.2,28.3,42.8,17.6,8.7,21.2,78.1,14.2,7.4,91551,131504,46661,59348,66916,59420,5.7,3.8,12.7,8.6,19.9,11.2,63.8,6.5,2022,80439.19457123282,-0.05339660242930089,1
421,California,5.2,64.3,3.5,35.7,58.8,67.9,70.7,14.6,29.2,43.4,17.8,8.9,22.3,77.7,14.8,7.3,95521,134491,48013,61493,70315,61447,5.8,3.6,13.4,8.5,19.5,11,63.4,6.4,2023,81773.35589116206,1.658596070038687,1
473,California,5.1,64.2,3.8,35.8,58.8,68.6,71.2,14.1,29.7,44.1,18,8.3,22.9,77.3,15.1,7.4,100149,140112,49934,63280,72043,63653,5.7,3.7,13.5,8.5,19.3,10.8,63.2,5.9,2024,84007.30561796189,2.7318797210342582,1
6,Colorado,4.3,68.1,3.7,31.9,62.3,63.9,70.2,6.5,25.1,40.3,17.7,6.6,20.4,80.4,13.2,6.3,61303,82295,32357,38560,50898,41690,3.4,2.3,8.9,8,24.4,11.8,69.7,10.3,2014,58924.04061773664,NA,0
